simulation,wins,losses,actual_win_rate,final_capital,total_return,max_drawdown,max_losing_streak,profitable
89,405,395,0.50625,7246.633181780386,-0.27533668182196147,-0.3718927287302304,13,False
90,418,382,0.5225,9931.453482406308,-0.006854651759369168,-0.2068669366801369,8,False
91,420,380,0.525,10424.87223717152,0.042487223717151856,-0.36074349347792045,8,True
92,416,384,0.52,9461.3886893986,-0.05386113106014001,-0.23232384251192661,8,False
93,403,397,0.50375,6903.643393565509,-0.30963566064344916,-0.34109680882509485,6,False
94,411,389,0.51375,8381.274474928961,-0.16187255250710386,-0.3577658956380233,10,False
95,445,355,0.55625,19111.50313246667,0.911150313246667,-0.1796572802630867,7,True
96,414,386,0.5175,9013.572493740423,-0.09864275062595773,-0.32370511796384327,9,False
97,423,377,0.52875,11211.34284872874,0.12113428487287403,-0.3300142418337788,11,True
98,403,397,0.50375,6903.643393565521,-0.30963566064344783,-0.43934087627207674,12,False
99,424,376,0.53,11486.470403982243,0.1486470403982243,-0.3827636553691097,8,True
100,395,405,0.49375,5686.520856474518,-0.43134791435254816,-0.5335470449973594,8,False
101,415,385,0.51875,9234.766528903143,-0.07652334710968567,-0.29934751221585,8,False
102,404,396,0.505,7073.059542446316,-0.2926940457553684,-0.4707658093440402,9,False
103,390,410,0.4875,5037.346384355169,-0.4962653615644831,-0.549955935710954,9,False
104,404,396,0.505,7073.059542446323,-0.2926940457553677,-0.3633613912399275,9,False
105,400,400,0.5,6419.355943349343,-0.3580644056650657,-0.45883172820349527,8,False
106,426,374,0.5325,12057.146180032634,0.2057146180032634,-0.26306358390375084,6,True
107,430,370,0.5375,13284.964036260377,0.3284964036260376,-0.31004006112071725,8,True
108,424,376,0.53,11486.470403982285,0.1486470403982285,-0.25267496935181355,7,True
109,389,411,0.48625,4916.690277914284,-0.5083309722085716,-0.5555388396454763,13,False
110,416,384,0.52,9461.388689398615,-0.05386113106013857,-0.36814533712531294,8,False
111,421,379,0.52625,10680.699719315526,0.06806997193155251,-0.26622326466479396,7,True
112,414,386,0.5175,9013.572493740417,-0.09864275062595829,-0.4020749500422295,15,False
113,406,394,0.5075,7424.466336829082,-0.2575533663170918,-0.41554485939396,10,False
114,387,413,0.48375,4683.978822147513,-0.5316021177852488,-0.5481763177258313,9,False
115,438,362,0.5475,16128.430109996067,0.6128430109996066,-0.20273943278488926,8,True
116,411,389,0.51375,8381.27447492896,-0.16187255250710408,-0.5100782847912481,10,False
117,402,398,0.5025,6738.285153617842,-0.32617148463821577,-0.35234812353230605,11,False
118,409,391,0.51125,7984.581074695302,-0.20154189253046983,-0.4854877128076708,8,False
119,439,361,0.54875,16524.22351370451,0.652422351370451,-0.21543945739784542,7,True
120,391,409,0.48875,5160.9634045812345,-0.48390365954187653,-0.5203408271955694,9,False
121,411,389,0.51375,8381.274474928945,-0.16187255250710553,-0.31853117243312723,9,False
122,440,360,0.55,16929.729729965136,0.6929729729965137,-0.16272264487946397,8,True
123,387,413,0.48375,4683.978822147541,-0.5316021177852459,-0.5667488892973203,11,False
124,428,372,0.535,12656.174516087713,0.26561745160877126,-0.19485755739141963,8,True
125,423,377,0.52875,11211.342848728742,0.12113428487287425,-0.26367972719102895,10,True
126,431,369,0.53875,13610.978477727707,0.36109784777277065,-0.30312430596285356,9,True
127,405,395,0.50625,7246.633181780397,-0.27533668182196036,-0.4515872000536796,8,False
128,423,377,0.52875,11211.342848728731,0.12113428487287314,-0.2656669373721908,8,True
129,447,353,0.55875,20061.0090727622,1.00610090727622,-0.21386725972943288,7,True
130,395,405,0.49375,5686.52085647452,-0.43134791435254805,-0.504608410422331,8,False
131,414,386,0.5175,9013.572493740425,-0.09864275062595751,-0.443748764305555,13,False
132,425,375,0.53125,11768.349618932667,0.17683496189326675,-0.21761832251019375,6,True
133,385,415,0.48125,4462.281812803872,-0.5537718187196128,-0.6221982691346021,7,False
134,430,370,0.5375,13284.96403626036,0.32849640362603605,-0.29433036621930986,8,True
135,429,371,0.53625,12966.75839532997,0.29667583953299714,-0.24162489591190828,7,True
136,430,370,0.5375,13284.964036260337,0.3284964036260336,-0.22198597732114178,9,True
137,435,365,0.54375,14997.028059125403,0.49970280591254035,-0.35607850345703385,10,True
138,393,407,0.49125,5417.372614067913,-0.45826273859320876,-0.48611646873704084,8,False
139,444,356,0.555,18653.73839280975,0.8653738392809751,-0.3134794513608291,9,True
140,426,374,0.5325,12057.146180032609,0.20571461800326096,-0.40694959624680604,7,True
141,421,379,0.52625,10680.69971931553,0.06806997193155295,-0.2831022131336123,8,True
142,423,377,0.52875,11211.342848728731,0.12113428487287314,-0.32805710192236137,9,True
143,440,360,0.55,16929.729729965176,0.6929729729965177,-0.22280312970680516,8,True
144,412,388,0.515,8586.9518489339,-0.14130481510660997,-0.39464662901700287,7,False
145,431,369,0.53875,13610.97847772767,0.3610978477727671,-0.2538227322014004,8,True
